price,tax,year,bedroom,bathroom,lot,address,description
34000,3943,1938,2,1,1,http://www.weichert.com/61962986,"$34,000 	2Bedrooms	1FullBath	SingleFamily	Taxesare$3943	Ranch	Active	Lotsizeof.26AC	Builtin1938	VernonTwp.NJ	SussexCounty	MLSWebIDis3279460					",2Bedrooms,1FullBath,SingleFamily,Taxesare$3943,Ranch,Active,Lotsizeof.26AC,Builtin1938,VernonTwp.NJ,SussexCounty,MLSWebIDis3279460,,,,,
75000,2337,1965,1,1,1,http://www.weichert.com/62405491,"$75,000 	1Bedroom	1FullBath	CondoTownhomeCoOp	778SquareFeet	Taxesare$2337	1Story	Active	Lotsizeof10700SQ.FT.	Builtin1965	NorthPlainfieldNJ	SomersetCounty	MLSWebIDis3285668				",1Bedroom,1FullBath,CondoTownhomeCoOp,778SquareFeet,Taxesare$2337,1Story,Active,Lotsizeof10700SQ.FT.,Builtin1965,NorthPlainfieldNJ,SomersetCounty,MLSWebIDis3285668,,,,
77900,3851,1900,3,1,1,http://www.weichert.com/63174705,"$77,900 	3Bedrooms	1FullBath	SingleFamily	1260SquareFeet	Taxesare$3851	Traditional	Active	Lotsizeof0.04Acre(s)	Builtin1900	RiversideNJ	BurlingtonCounty	MLSWebIDis6766629	JustListed	Foreclosure		",3Bedrooms,1FullBath,SingleFamily,1260SquareFeet,Taxesare$3851,Traditional,Active,Lotsizeof0.04Acre(s),Builtin1900,RiversideNJ,BurlingtonCounty,MLSWebIDis6766629,JustListed,Foreclosure,,
79900,2034,2004,1,1,1,http://www.weichert.com/62405512,"$79,900 	1Bedroom	1FullBath	CondoTownhomeCoOp	415SquareFeet	Taxesare$2034	HighRise	Active	Lotsizeof0.00Acre(s)	Builtin2004	VernonTwp.NJ	SussexCounty	MLSWebIDis3285693				",1Bedroom,1FullBath,CondoTownhomeCoOp,415SquareFeet,Taxesare$2034,HighRise,Active,Lotsizeof0.00Acre(s),Builtin2004,VernonTwp.NJ,SussexCounty,MLSWebIDis3285693,,,,
81000,3898,1985,2,1,1,http://www.weichert.com/63174545,"$81,000 	2Bedrooms	1FullBath	Condo	872SquareFeet	Taxesare$3898	OtherUnknown	Active	Lotsizeof5.7Acre(s)	Builtin1985	BlackwoodNJ	CamdenCounty	MLSWebIDis6766435	JustListed			",2Bedrooms,1FullBath,Condo,872SquareFeet,Taxesare$3898,OtherUnknown,Active,Lotsizeof5.7Acre(s),Builtin1985,BlackwoodNJ,CamdenCounty,MLSWebIDis6766435,JustListed,,,
82000,6297,1948,3,1,1,http://www.weichert.com/61962962,"$82,000 	3Bedrooms	1FullBath	SingleFamily	1190SquareFeet	Taxesare$6297	CapeCod	Active	Lotsizeof00000.171AC.	Builtin1948	NewtonNJ	SussexCounty	MLSWebIDis3279432				",3Bedrooms,1FullBath,SingleFamily,1190SquareFeet,Taxesare$6297,CapeCod,Active,Lotsizeof00000.171AC.,Builtin1948,NewtonNJ,SussexCounty,MLSWebIDis3279432,,,,
82000,1051,1923,3,1,1,http://www.weichert.com/63174564,"$82,000 	3Bedrooms	1FullBath	Townhouse	1038SquareFeet	Taxesare$1051	StraightThru	Active	Lotsizeof0.02Acre(s)	Builtin1923	PhiladelphiaPA	PointBreezeNeighborhood	PhiladelphiaCounty	MLSWebIDis6766462	JustListed	PriceReduced	",3Bedrooms,1FullBath,Townhouse,1038SquareFeet,Taxesare$1051,StraightThru,Active,Lotsizeof0.02Acre(s),Builtin1923,PhiladelphiaPA,PointBreezeNeighborhood,PhiladelphiaCounty,MLSWebIDis6766462,JustListed,PriceReduced,
82900,2034,2004,1,1,1,http://www.weichert.com/61962863,"$82,900 	1Bedroom	1FullBath	CondoTownhomeCoOp	Taxesare$2034	1Story	Active	Lotsizeof0.00Acre(s)	Builtin2004	VernonTwp.NJ	SussexCounty	MLSWebIDis3279312					",1Bedroom,1FullBath,CondoTownhomeCoOp,Taxesare$2034,1Story,Active,Lotsizeof0.00Acre(s),Builtin2004,VernonTwp.NJ,SussexCounty,MLSWebIDis3279312,,,,,
84222,1567,1975,2,1.1,1,http://www.weichert.com/62406220,"$84,222 	2Bedrooms	1FullBath1HalfBath	CondoTownhomeCoOp	1333SquareFeet	Taxesare$1567	LowerLevel	Active	Lotsizeof1.27AC	Builtin1975	MontagueTownshipNJ	SussexCounty	MLSWebIDis3286490				",2Bedrooms,1FullBath1HalfBath,CondoTownhomeCoOp,1333SquareFeet,Taxesare$1567,LowerLevel,Active,Lotsizeof1.27AC,Builtin1975,MontagueTownshipNJ,SussexCounty,MLSWebIDis3286490,,,,
89900,3698,1952,2,1,1,http://www.weichert.com/61963626,"$89,900 	2Bedrooms	1FullBath	SingleFamily	Taxesare$3698	Lake	Active	Lotsizeof80X115	Builtin1952	FrankfordNJ	SussexCounty	MLSWebIDis3280200	PriceReduced				",2Bedrooms,1FullBath,SingleFamily,Taxesare$3698,Lake,Active,Lotsizeof80X115,Builtin1952,FrankfordNJ,SussexCounty,MLSWebIDis3280200,PriceReduced,,,,
89900,4671,1945,3,1.1,1,http://www.weichert.com/62406051,"$89,900 	3Bedrooms	1FullBath1HalfBath	SingleFamily	Taxesare$4671	Ranch	Active	Lotsizeof1.37AC	Builtin1945	StillwaterNJ	SussexCounty	MLSWebIDis3286309					",3Bedrooms,1FullBath1HalfBath,SingleFamily,Taxesare$4671,Ranch,Active,Lotsizeof1.37AC,Builtin1945,StillwaterNJ,SussexCounty,MLSWebIDis3286309,,,,,
